,estadio,ciudad,lat,long,foto,label
0,Estadio Olímpico de Berlín,Berlín,52.514722222222,13.239444444444,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Olympiastadion_Berlin_Sep-2015.jpg/300px-Olympiastadion_Berlin_Sep-2015.jpg,"Estadio Olímpico de Berlín, Berlín"
1,Allianz Arena,Múnich,48.218775,11.624752777778,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Allianz_Arena_2008-02-09.jpg/300px-Allianz_Arena_2008-02-09.jpg,"Allianz Arena, Múnich"
2,Signal Iduna Park,Dortmund,51.4925,7.451667,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Signal_iduna_park_stadium_dortmund_4.jpg/300px-Signal_iduna_park_stadium_dortmund_4.jpg,"Signal Iduna Park, Dortmund"
3,MHPArena,Stuttgart,48.792222,9.231944,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Stuttgart_stadium.jpg/280px-Stuttgart_stadium.jpg,"MHPArena, Stuttgart"
4,Veltins-Arena,Gelsenkirchen,51.554502777778,7.0675888888889,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Germany_-v-_Ireland_Euro_2016_Qualifier_%2815365957457%29.jpg/280px-Germany_-v-_Ireland_Euro_2016_Qualifier_%2815365957457%29.jpg,"Veltins-Arena, Gelsenkirchen"
5,Volksparkstadion,Hamburgo,53.586944,9.898611,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Volksparkstadion_logo.svg/100px-Volksparkstadion_logo.svg.png,"Volksparkstadion, Hamburgo"
6,Deutsche Bank Park,Fráncfort,50.068611,8.645278,"https://upload.wikimedia.org/wikipedia/commons/5/56/Aerial_view_of_Commerzbank-Arena.jpg""","Deutsche Bank Park, Fráncfort"
7,Estadio Rhein Energie,Colonia,50.933611,6.875,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Rhein_Energie_Stadion_Luftbild_-_aerial_%2820152327046%29.jpg/280px-Rhein_Energie_Stadion_Luftbild_-_aerial_%2820152327046%29.jpg,"Estadio Rhein Energie, Colonia"
8,Red Bull Arena (Leipzig),Leipzig,51.345833,12.348056,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/300px-Leipzig_stadium.jpg,"Red Bull Arena (Leipzig), Leipzig"
9,Merkur Spiel-Arena,Düsseldorf,51.261539,6.733083,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Merkur-Spiel-Arena.jpg/280px-Merkur-Spiel-Arena.jpg,"Merkur Spiel-Arena, Düsseldorf"
